slug,nom,categorie,slot,set,rarete,stat_principale,val_principale,stat_secondaire_1,val_secondaire_1,stat_secondaire_2,val_secondaire_2,stats_aleatoires,set_nom,set_pieces,set_bonus,image_url,page_url
arachne-s-melody-belt,Arachne's Melody Belt,Armor,Belt,Grudge of the Spider Nest,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Grudge of the Spider Nest,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Plate_4038.png?class=iconmd,https://zeroluck.gg/7dso/gear/arachne-s-melody-belt/
arachne-s-melody-bottoms,Arachne's Melody Bottoms,Armor,Bottom,Grudge of the Spider Nest,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Grudge of the Spider Nest,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Plate_4038.png?class=iconmd,https://zeroluck.gg/7dso/gear/arachne-s-melody-bottoms/
arachne-s-melody-combat-boots,Arachne's Melody Combat Boots,Armor,Shoes,Grudge of the Spider Nest,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Grudge of the Spider Nest,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Plate_4038.png?class=iconmd,https://zeroluck.gg/7dso/gear/arachne-s-melody-combat-boots/
arachne-s-melody-earrings,Arachne's Melody Earrings,Accessory,Earring,Grudge of the Spider Nest,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,Sets Sets Grudge of the Spider Nest,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_4020.png?class=iconmd,https://zeroluck.gg/7dso/gear/arachne-s-melody-earrings/
arachne-s-melody-necklace,Arachne's Melody Necklace,Accessory,Necklace,Grudge of the Spider Nest,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,Sets Sets Grudge of the Spider Nest,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_4020.png?class=iconmd,https://zeroluck.gg/7dso/gear/arachne-s-melody-necklace/
arachne-s-melody-ring,Arachne's Melody Ring,Accessory,Ring,Grudge of the Spider Nest,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,Sets Sets Grudge of the Spider Nest,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_4020.png?class=iconmd,https://zeroluck.gg/7dso/gear/arachne-s-melody-ring/
arachne-s-melody-top,Arachne's Melody Top,Armor,Chest,Grudge of the Spider Nest,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Grudge of the Spider Nest,7,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Plate_4038.png?class=iconmd,https://zeroluck.gg/7dso/gear/arachne-s-melody-top/
bloody-scale-belt,Bloody Scale Belt,Armor,Belt,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Leather_5001.png?class=iconmd,https://zeroluck.gg/7dso/gear/bloody-scale-belt/
corrupted-watcher-s-earrings,Corrupted Watcher's Earrings,Accessory,Earring,Edge of the Void,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,Sets Sets Edge of the Void,3,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_4006.png?class=iconmd,https://zeroluck.gg/7dso/gear/corrupted-watcher-s-earrings/
corrupted-watcher-s-necklace,Corrupted Watcher's Necklace,Accessory,Necklace,Edge of the Void,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,Sets Sets Edge of the Void,3,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_4006.png?class=iconmd,https://zeroluck.gg/7dso/gear/corrupted-watcher-s-necklace/
crimson-flame-oath-ring,Crimson Flame Oath Ring,Accessory,Ring,,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_5001.png?class=iconmd,https://zeroluck.gg/7dso/gear/crimson-flame-oath-ring/
dark-chaos-earrings,Dark Chaos Earrings,Accessory,Earring,,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_5001.png?class=iconmd,https://zeroluck.gg/7dso/gear/dark-chaos-earrings/
